timestamp,cpu,ram,temperature,battery,health_score,model,decision_source,image_path,true_label,label,correct,confidence,latency_ms,decision_time_ms
2026-08-09 16:26:51,100.0,32.5,52.0,79.51,0,fp32,algo,datasets/imagenette2-320/val/n03417042/n03417042_5221.JPEG,garbage truck,garbage truck,True,0.7764,63.9,0
2026-08-09 16:26:52,49.0,31.4,53.0,79.48,0,fp32,algo,datasets/imagenette2-320/val/n03445777/n03445777_490.JPEG,golf ball,golf ball,True,0.8951,63.89,0
2026-08-09 16:26:54,2.0,31.4,53.0,79.46,0,fp32,algo,datasets/imagenette2-320/val/n02979186/n02979186_5280.JPEG,cassette player,television,False,0.2154,34.41,0
2026-08-09 16:26:56,3.9,31.4,53.0,79.44,0,fp32,algo,datasets/imagenette2-320/val/n02102040/n02102040_332.JPEG,English springer,English springer,True,0.2494,67.22,0
2026-08-09 16:26:57,6.1,31.3,52.0,79.42,0,fp32,algo,datasets/imagenette2-320/val/n02979186/n02979186_19412.JPEG,cassette player,cassette player,True,0.6009,67.15,0
2026-08-09 16:26:59,2.0,31.4,52.0,79.4,0,fp32,algo,datasets/imagenette2-320/val/n03394916/n03394916_51571.JPEG,French horn,French horn,True,0.9576,67.0,0
2026-08-09 16:27:01,2.0,31.3,52.0,79.37,0,fp32,algo,datasets/imagenette2-320/val/n03000684/n03000684_28711.JPEG,chain saw,chain saw,True,0.9911,67.0,0
2026-08-09 16:27:02,2.0,31.2,52.0,79.35,0,fp32,algo,datasets/imagenette2-320/val/n03000684/n03000684_10902.JPEG,chain saw,syringe,False,0.5531,66.93,0
2026-08-09 16:27:04,14.0,31.6,52.0,79.35,0,fp32,algo,datasets/imagenette2-320/val/n03425413/n03425413_16300.JPEG,gas pump,gas pump,True,0.8064,53.66,0
2026-08-09 16:27:06,4.1,31.4,53.0,79.33,0,fp32,algo,datasets/imagenette2-320/val/n03888257/n03888257_880.JPEG,parachute,snowmobile,False,0.4563,45.03,0
2026-08-09 16:27:07,7.8,31.3,52.0,79.33,0,fp32,algo,datasets/imagenette2-320/val/n03028079/n03028079_13311.JPEG,church,stupa,False,0.633,39.19,0
2026-08-09 16:27:09,24.5,31.5,53.0,79.31,0,fp32,algo,datasets/imagenette2-320/val/n02102040/n02102040_791.JPEG,English springer,whippet,False,0.459,34.49,0
2026-08-09 16:27:11,8.0,31.4,51.0,79.31,0,fp32,algo,datasets/imagenette2-320/val/n02979186/n02979186_19690.JPEG,cassette player,tape player,False,0.5127,31.75,0
2026-08-09 16:27:12,26.0,33.1,51.0,79.29,0,fp32,algo,datasets/imagenette2-320/val/n03425413/n03425413_13231.JPEG,gas pump,mobile home,False,0.5726,29.43,0
2026-08-09 16:27:14,28.6,33.2,52.0,79.26,0,fp32,algo,datasets/imagenette2-320/val/n03445777/n03445777_5912.JPEG,golf ball,golf ball,True,0.7808,31.28,0
2026-08-09 16:27:15,4.0,33.3,52.0,79.26,0,fp32,algo,datasets/imagenette2-320/val/n03888257/n03888257_61350.JPEG,parachute,parachute,True,0.9283,26.87,0
2026-08-09 16:27:17,3.9,33.3,51.0,79.26,0,fp32,algo,datasets/imagenette2-320/val/n02102040/n02102040_990.JPEG,English springer,English springer,True,0.9408,22.6,0
2026-08-09 16:27:19,2.0,33.3,51.0,79.24,0,fp32,algo,datasets/imagenette2-320/val/n03417042/n03417042_3272.JPEG,garbage truck,garbage truck,True,0.385,23.89,0
2026-08-09 16:27:20,2.0,33.5,51.0,79.24,0,fp32,algo,datasets/imagenette2-320/val/n03425413/n03425413_691.JPEG,gas pump,parking meter,False,0.29,18.53,0
